full_name,url,stars,forks,open_issues,contributors,commits,releases,has_ci,readme_length,n_topics,has_license,language,age_days,days_since_push,commits_per_contributor,has_readme,age_years,activity
vllm-project/vllm,https://github.com/vllm-project/vllm,81369,17402,5084,459,17093,95,1,5693,20,1,Python,1205,0,37.2,1,3.3,active
sgl-project/sglang,https://github.com/sgl-project/sglang,28443,6216,3645,452,13295,52,1,10800,18,1,Python,872,0,29.4,1,2.4,active
reflex-dev/reflex,https://github.com/reflex-dev/reflex,28457,1728,277,199,3127,280,1,4404,11,1,Python,1312,0,15.7,1,3.6,active
pytorch/pytorch,https://github.com/pytorch/pytorch,100258,27883,18363,321,105188,66,1,29363,8,1,Python,3576,0,327.7,1,9.8,active
apache/airflow,https://github.com/apache/airflow,45596,17133,1741,415,38603,121,1,40663,20,1,Python,4064,0,93.0,1,11.1,active
getsentry/sentry,https://github.com/getsentry/sentry,43991,4709,2105,353,104443,170,1,3180,15,1,Python,5750,0,295.9,1,15.8,active
airbytehq/airbyte,https://github.com/airbytehq/airbyte,21351,5191,2059,378,46669,419,1,8659,20,1,Python,2131,0,123.5,1,5.8,active
SimplifyJobs/Summer2026-Internships,https://github.com/SimplifyJobs/Summer2026-Internships,44723,3182,3,439,47607,0,1,275616,9,0,Python,2196,0,108.4,1,6.0,active
onyx-dot-app/onyx,https://github.com/onyx-dot-app/onyx,29890,4060,399,181,8220,202,1,6039,14,1,Python,1128,0,45.4,1,3.1,active
PostHog/posthog,https://github.com/PostHog/posthog,34761,2792,4064,400,43700,232,1,10691,15,1,Python,2317,0,109.2,1,6.3,active
unslothai/unsloth,https://github.com/unslothai/unsloth,65331,5816,1336,184,5438,36,1,18749,19,1,Python,912,0,29.6,1,2.5,active
langflow-ai/langflow,https://github.com/langflow-ai/langflow,148878,9142,932,323,17738,294,1,4690,6,1,Python,1205,0,54.9,1,3.3,active
anthropics/claude-plugins-official,https://github.com/anthropics/claude-plugins-official,28574,3046,694,33,434,0,1,3115,3,1,Python,189,0,13.2,1,0.5,active
HKUDS/nanobot,https://github.com/HKUDS/nanobot,43367,7656,928,286,2687,16,1,23359,13,1,Python,117,0,9.4,1,0.3,active
huggingface/transformers,https://github.com/huggingface/transformers,161051,33355,2368,438,22973,257,1,17904,19,1,Python,2769,0,52.4,1,7.6,active
commaai/openpilot,https://github.com/commaai/openpilot,61197,10939,162,427,17196,62,1,7127,3,1,Python,3473,0,40.3,1,9.5,active
paperless-ngx/paperless-ngx,https://github.com/paperless-ngx/paperless-ngx,41703,2764,9,390,11444,149,1,7093,11,1,Python,1566,0,29.3,1,4.3,active
lucidrains/vit-pytorch,https://github.com/lucidrains/vit-pytorch,25228,3489,141,26,399,251,0,75527,5,1,Python,2063,0,15.3,1,5.7,active
exo-explore/exo,https://github.com/exo-explore/exo,44975,3202,238,95,2348,16,1,21276,0,1,Python,703,0,24.7,1,1.9,active
NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,172623,29055,14979,384,9945,16,1,13822,16,1,Python,310,0,25.9,1,0.8,active
OpenHands/OpenHands,https://github.com/OpenHands/OpenHands,75311,9549,364,462,6801,102,1,8358,9,1,Python,807,0,14.7,1,2.2,active
frappe/erpnext,https://github.com/frappe/erpnext,35103,11487,2120,278,58153,1744,1,7438,16,1,Python,5469,0,209.2,1,15.0,active
PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,22499,2325,828,422,21556,829,1,8544,14,1,Python,2890,0,51.1,1,7.9,active
ray-project/ray,https://github.com/ray-project/ray,42705,7610,3457,406,30500,125,1,6506,20,1,Python,3502,0,75.1,1,9.6,active
langchain-ai/langgraph,https://github.com/langchain-ai/langgraph,33328,5622,548,275,6904,540,1,6351,18,1,Python,1023,0,25.1,1,2.8,active
Comfy-Org/ComfyUI,https://github.com/Comfy-Org/ComfyUI,114906,13421,4037,307,5337,140,1,30186,6,1,Python,1228,0,17.4,1,3.4,active
jax-ml/jax,https://github.com/jax-ml/jax,35716,3600,2336,397,36070,137,1,10744,1,1,Python,2772,0,90.9,1,7.6,active
ZhuLinsen/daily_stock_analysis,https://github.com/ZhuLinsen/daily_stock_analysis,39380,38025,33,73,696,23,1,9568,7,1,Python,139,0,9.5,1,0.4,active
wshobson/agents,https://github.com/wshobson/agents,36126,3919,4,62,433,0,1,7252,20,1,Python,308,0,7.0,1,0.8,active
home-assistant/core,https://github.com/home-assistant/core,87383,37571,4034,427,110759,1601,1,1964,8,1,Python,4637,0,259.4,1,12.7,active
521xueweihan/GitHub520,https://github.com/521xueweihan/GitHub520,28791,2710,13,13,23536,0,1,6458,3,0,Python,2207,0,1810.5,1,6.0,active
marimo-team/marimo,https://github.com/marimo-team/marimo,21231,1108,629,285,6138,360,1,16647,13,1,Python,1018,0,21.5,1,2.8,active
agno-agi/agno,https://github.com/agno-agi/agno,40420,5444,867,446,5642,192,1,4173,5,1,Python,1486,0,12.7,1,4.1,active
onnx/onnx,https://github.com/onnx/onnx,20905,3934,264,355,3780,37,1,7871,13,1,Python,3186,0,10.6,1,8.7,active
HKUDS/LightRAG,https://github.com/HKUDS/LightRAG,35955,5078,222,256,8038,72,1,24634,9,1,Python,604,0,31.4,1,1.7,active
Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,184643,46208,429,429,8637,106,1,11725,11,1,Python,1170,0,20.1,1,3.2,active
ultralytics/ultralytics,https://github.com/ultralytics/ultralytics,57761,11083,316,358,4030,384,1,34191,20,1,Python,1356,0,11.3,1,3.7,active
