full_name,url,stars,forks,open_issues,contributors,commits,releases,has_ci,readme_length,n_topics,has_license,language,age_days,days_since_push,commits_per_contributor,has_readme,age_years,activity,text
vllm-project/vllm,https://github.com/vllm-project/vllm,81369,17402,5084,459,17093,95,1,5693,20,1,Python,1205,0,37.2,1,3.3,active,"Repository in Python with very high popularity (81369 stars, 17402 forks). Maintained by a large community of 459 contributors, 17093 total commits (37.2 per contributor). 95 releases, 5084 open issues. It has CI/CD workflows, has a README of 5693 characters, 20 topics, and is licensed. The project is 3.3 years old and currently active (last push 0 days ago)."
sgl-project/sglang,https://github.com/sgl-project/sglang,28443,6216,3645,452,13295,52,1,10800,18,1,Python,872,0,29.4,1,2.4,active,"Repository in Python with very high popularity (28443 stars, 6216 forks). Maintained by a large community of 452 contributors, 13295 total commits (29.4 per contributor). 52 releases, 3645 open issues. It has CI/CD workflows, has a README of 10800 characters, 18 topics, and is licensed. The project is 2.4 years old and currently active (last push 0 days ago)."
reflex-dev/reflex,https://github.com/reflex-dev/reflex,28457,1728,277,199,3127,280,1,4404,11,1,Python,1312,0,15.7,1,3.6,active,"Repository in Python with very high popularity (28457 stars, 1728 forks). Maintained by a large community of 199 contributors, 3127 total commits (15.7 per contributor). 280 releases, 277 open issues. It has CI/CD workflows, has a README of 4404 characters, 11 topics, and is licensed. The project is 3.6 years old and currently active (last push 0 days ago)."
pytorch/pytorch,https://github.com/pytorch/pytorch,100258,27883,18363,321,105188,66,1,29363,8,1,Python,3576,0,327.7,1,9.8,active,"Repository in Python with very high popularity (100258 stars, 27883 forks). Maintained by a large community of 321 contributors, 105188 total commits (327.7 per contributor). 66 releases, 18363 open issues. It has CI/CD workflows, has a README of 29363 characters, 8 topics, and is licensed. The project is 9.8 years old and currently active (last push 0 days ago)."
apache/airflow,https://github.com/apache/airflow,45596,17133,1741,415,38603,121,1,40663,20,1,Python,4064,0,93.0,1,11.1,active,"Repository in Python with very high popularity (45596 stars, 17133 forks). Maintained by a large community of 415 contributors, 38603 total commits (93.0 per contributor). 121 releases, 1741 open issues. It has CI/CD workflows, has a README of 40663 characters, 20 topics, and is licensed. The project is 11.1 years old and currently active (last push 0 days ago)."
getsentry/sentry,https://github.com/getsentry/sentry,43991,4709,2105,353,104443,170,1,3180,15,1,Python,5750,0,295.9,1,15.8,active,"Repository in Python with very high popularity (43991 stars, 4709 forks). Maintained by a large community of 353 contributors, 104443 total commits (295.9 per contributor). 170 releases, 2105 open issues. It has CI/CD workflows, has a README of 3180 characters, 15 topics, and is licensed. The project is 15.8 years old and currently active (last push 0 days ago)."
airbytehq/airbyte,https://github.com/airbytehq/airbyte,21351,5191,2059,378,46669,419,1,8659,20,1,Python,2131,0,123.5,1,5.8,active,"Repository in Python with very high popularity (21351 stars, 5191 forks). Maintained by a large community of 378 contributors, 46669 total commits (123.5 per contributor). 419 releases, 2059 open issues. It has CI/CD workflows, has a README of 8659 characters, 20 topics, and is licensed. The project is 5.8 years old and currently active (last push 0 days ago)."
SimplifyJobs/Summer2026-Internships,https://github.com/SimplifyJobs/Summer2026-Internships,44723,3182,3,439,47607,0,1,275616,9,0,Python,2196,0,108.4,1,6.0,active,"Repository in Python with very high popularity (44723 stars, 3182 forks). Maintained by a large community of 439 contributors, 47607 total commits (108.4 per contributor). 0 releases, 3 open issues. It has CI/CD workflows, has a README of 275616 characters, 9 topics, and is no license. The project is 6.0 years old and currently active (last push 0 days ago)."
onyx-dot-app/onyx,https://github.com/onyx-dot-app/onyx,29890,4060,399,181,8220,202,1,6039,14,1,Python,1128,0,45.4,1,3.1,active,"Repository in Python with very high popularity (29890 stars, 4060 forks). Maintained by a large community of 181 contributors, 8220 total commits (45.4 per contributor). 202 releases, 399 open issues. It has CI/CD workflows, has a README of 6039 characters, 14 topics, and is licensed. The project is 3.1 years old and currently active (last push 0 days ago)."
PostHog/posthog,https://github.com/PostHog/posthog,34761,2792,4064,400,43700,232,1,10691,15,1,Python,2317,0,109.2,1,6.3,active,"Repository in Python with very high popularity (34761 stars, 2792 forks). Maintained by a large community of 400 contributors, 43700 total commits (109.2 per contributor). 232 releases, 4064 open issues. It has CI/CD workflows, has a README of 10691 characters, 15 topics, and is licensed. The project is 6.3 years old and currently active (last push 0 days ago)."
