full_name,url,stars,forks,open_issues,contributors,commits,releases,has_ci,readme_length,n_topics,has_license,language,age_days,days_since_push
vllm-project/vllm,https://github.com/vllm-project/vllm,81369,17402,5084,459,17093,95,1,5693,20,1,Python,1205,0
sgl-project/sglang,https://github.com/sgl-project/sglang,28443,6216,3645,452,13295,52,1,10800,18,1,Python,872,0
reflex-dev/reflex,https://github.com/reflex-dev/reflex,28457,1728,277,199,3127,280,1,4404,11,1,Python,1312,0
pytorch/pytorch,https://github.com/pytorch/pytorch,100258,27883,18363,321,105188,66,1,29363,8,1,Python,3576,0
apache/airflow,https://github.com/apache/airflow,45596,17133,1741,415,38603,121,1,40663,20,1,Python,4064,0
getsentry/sentry,https://github.com/getsentry/sentry,43991,4709,2105,353,104443,170,1,3180,15,1,Python,5750,0
airbytehq/airbyte,https://github.com/airbytehq/airbyte,21351,5191,2059,378,46669,419,1,8659,20,1,Python,2131,0
SimplifyJobs/Summer2026-Internships,https://github.com/SimplifyJobs/Summer2026-Internships,44723,3182,3,439,47607,0,1,275616,9,0,Python,2196,0
onyx-dot-app/onyx,https://github.com/onyx-dot-app/onyx,29890,4060,399,181,8220,202,1,6039,14,1,Python,1128,0
PostHog/posthog,https://github.com/PostHog/posthog,34761,2792,4064,400,43700,232,1,10691,15,1,Python,2317,0
unslothai/unsloth,https://github.com/unslothai/unsloth,65331,5816,1336,184,5438,36,1,18749,19,1,Python,912,0
langflow-ai/langflow,https://github.com/langflow-ai/langflow,148878,9142,932,323,17738,294,1,4690,6,1,Python,1205,0
anthropics/claude-plugins-official,https://github.com/anthropics/claude-plugins-official,28574,3046,694,33,434,0,1,3115,3,1,Python,189,0
HKUDS/nanobot,https://github.com/HKUDS/nanobot,43367,7656,928,286,2687,16,1,23359,13,1,Python,117,0
huggingface/transformers,https://github.com/huggingface/transformers,161051,33355,2368,438,22973,257,1,17904,19,1,Python,2769,0
commaai/openpilot,https://github.com/commaai/openpilot,61197,10939,162,427,17196,62,1,7127,3,1,Python,3473,0
paperless-ngx/paperless-ngx,https://github.com/paperless-ngx/paperless-ngx,41703,2764,9,390,11444,149,1,7093,11,1,Python,1566,0
lucidrains/vit-pytorch,https://github.com/lucidrains/vit-pytorch,25228,3489,141,26,399,251,0,75527,5,1,Python,2063,0
exo-explore/exo,https://github.com/exo-explore/exo,44975,3202,238,95,2348,16,1,21276,0,1,Python,703,0
NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,172623,29055,14979,384,9945,16,1,13822,16,1,Python,310,0
OpenHands/OpenHands,https://github.com/OpenHands/OpenHands,75311,9549,364,462,6801,102,1,8358,9,1,Python,807,0
frappe/erpnext,https://github.com/frappe/erpnext,35103,11487,2120,278,58153,1744,1,7438,16,1,Python,5469,0
PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,22499,2325,828,422,21556,829,1,8544,14,1,Python,2890,0
ray-project/ray,https://github.com/ray-project/ray,42705,7610,3457,406,30500,125,1,6506,20,1,Python,3502,0
langchain-ai/langgraph,https://github.com/langchain-ai/langgraph,33328,5622,548,275,6904,540,1,6351,18,1,Python,1023,0
Comfy-Org/ComfyUI,https://github.com/Comfy-Org/ComfyUI,114906,13421,4037,307,5337,140,1,30186,6,1,Python,1228,0
jax-ml/jax,https://github.com/jax-ml/jax,35716,3600,2336,397,36070,137,1,10744,1,1,Python,2772,0
